Instrument Name,SDS1204X-E
Serial Number,SDSMMEBD3R7742
Software Version,8.1.6.1.26
Awg Type,LAN
Awg IP Address,192.168.1.51
Awg Amplitude,1.76483269V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vrms
DUT Input Source,CH4
DUT Output Source1,CH3
DUT Output Source2,None
DUT Output Source3,None
Sweep Mode,Linear
Start Frequency,10125000Hz
Stop Frequency,16875000Hz
Sweep Resolution,High
Amplitude Mode,Vout
Amplitude Unit,Vpp
14431500,9.68,113.982808
14445000,9.68,104.389535
14458500,9.52,106.744186
14472000,9.52,111.130435
14485500,9.52,103.604651
14499000,9.68,102.631579
14512500,9.52,97.4117647
14526000,9.6,105.913043
14539500,9.52,112.628571
14553000,9.6,107.068966
14566500,9.52,100.924855
14580000,9.68,101.348974
14593500,9.68,98.4705882
14607000,9.52,98.2300885
14620500,9.44,103.227666
14634000,9.6,98.4457478
14647500,9.44,105.171429
14661000,9.44,103.487032
14674500,9.44,98.2300885
14688000,9.6,93.1952663
14701500,9.52,94.4606414
14715000,9.52,95.7099698
14728500,9.44,107.005814
14742000,9.52,101.511628
14755500,9.52,99.5294118
14769000,9.52,94.5132743
14782500,9.6,97.1681416
14796000,9.44,93.1952663
14809500,9.44,97.4117647
14823000,9.44,91.6167665
14836500,9.36,100.41543
14850000,9.44,93.2142857
14863500,9.52,102.932551
14877000,9.52,95.2631579
14890500,9.44,91.6071429
14904000,9.36,91.3513514
14917500,9.44,90.8059701
14931000,9.44,90.8059701
14944500,9.44,95.6756757
14958000,9.36,93.9823009
14971500,9.28,92.1686747
14985000,9.36,90.8083832
14998500,9.36,86.443769
15012000,9.2,90.2702703
15025500,9.28,86.6972477
15039000,9.36,93.2335329
15052500,9.28,89.4578313
15066000,9.36,90.5421687
15079500,9.36,90.8059701
15093000,9.2,80.1818182
15106500,9.36,84.2900302
15120000,9.28,88.6404834
15133500,9.28,85.6363636
15147000,9.36,81.8181818
15160500,9.28,86.2048193
15174000,9.36,83.4146341
15187500,9.2,86.25
15201000,9.28,85.3776435
15214500,9.2,85.0909091
15228000,9.2,82.7777778
15241500,9.28,84.2900302
15255000,9.12,80.1818182
15268500,9.28,80.6707317
15282000,9.12,79.5731707
15295500,9.12,82.8220859
15309000,9.12,76.9040248
15322500,9.12,85.9214502
15336000,9.12,73.5603715
15349500,8.96,81.4678899
15363000,9.12,78.8198758
15376500,9.2,79.1331269
15390000,9.04,74.1176471
15403500,9.04,82.1148036
15417000,9.04,77.2222222
15430500,8.96,72.8971963
15444000,9.04,77.8527607
15457500,9.04,81.2462006
15471000,8.96,76.8292683
15484500,8.96,73.4810127
15498000,8.96,77.3006135
15511500,8.96,73.7888199
15525000,8.88,68.2165605
15538500,8.96,74.7169811
15552000,8.8,76.1755486
15565500,8.8,70.9615385
15579000,8.88,73.0188679
15592500,8.88,65.1428571
15606000,8.72,73.5603715
15619500,8.8,70.754717
15633000,8.88,73.6875
15646500,8.8,75.4205607
15660000,8.8,71.0828025
15673500,8.8,72.1118012
15687000,8.8,72.8307692
15700500,8.72,72.1118012
15714000,8.72,68.3653846
15727500,8.64,69.75
15741000,8.8,68.7066246
15754500,8.72,65.5591054
15768000,8.56,72.681388
15781500,8.72,60.3870968
15795000,8.64,67.0700637
15808500,8.56,70.1886792
15822000,8.56,66.1935484
15835500,8.56,66.3461538
15849000,8.64,66.7924528
15862500,8.56,65.3503185
15876000,8.48,62.1498371
15889500,8.56,65.2996845
15903000,8.56,69.4285714
15916500,8.48,68.490566
15930000,8.48,62.8846154
15943500,8.48,72.7899687
15957000,8.4,66.9968051
15970500,8.48,73.354232
15984000,8.48,67.5
15997500,8.56,69.1021672
16011000,8.48,62.1086262
16024500,8.32,64.4089457
16038000,8.4,57.2459016
16051500,8.4,67.7848101
16065000,8.4,62.5080386
16078500,8.32,64.7770701
16092000,8.24,61.9292605
16105500,8.4,63.9171975
16119000,8.4,57.6699029
16132500,8.24,58.8349515
16146000,8.24,68.2758621
16159500,8.4,58.2178218
16173000,8.16,62.2402597
16186500,8.24,53.8815789
16200000,8.16,58.0645161
16213500,8.16,62.8846154
16227000,8.24,56.6883117
16240500,8.16,51.4285714
16254000,8.16,54.8852459
16267500,8.08,58.4415584
16281000,8.16,62.3300971
16294500,8.08,60.3908795
16308000,8.16,63.2038835
16321500,8,61.1650485
16335000,8,54.1176471
16348500,7.92,62.1290323
16362000,8,52.6755853
16375500,8,54.4736842
16389000,7.92,56.286645
16402500,7.92,57.6470588
16416000,7.92,54.5901639
16429500,7.84,62.1498371
16443000,7.92,61.2580645
16456500,7.92,58.0456026
16470000,7.92,49.9665552
16483500,7.76,54.2384106
16497000,7.84,52.9934211
16510500,7.84,57.8571429
16524000,7.84,58.2352941
16537500,7.76,59.8045603
16551000,7.76,52.6245847
16564500,7.68,44.8474576
16578000,7.76,53.6106489
16591500,7.76,54.7438017
16605000,7.68,54.8344371
16618500,7.68,52.8712871
16632000,7.6,56.1936561
16645500,7.6,52.4503311
16659000,7.6,50.1
16672500,7.6,51.6
16686000,7.6,53.0116473
16699500,7.68,53.2225914
16713000,7.6,52.238806
16726500,7.6,47.114094
16740000,7.6,55.2921536
16753500,7.52,49.2
16767000,7.44,49.0084034
16780500,7.52,48.8135593
16794000,7.52,54.6
16807500,7.52,43.6177474
16821000,7.52,51.6
16834500,7.36,46.3728814
16848000,7.52,47.8787879
16861500,7.44,46.7692308
16875000,7.44,48.4033613
